EQNR;Siste;Kjøper;Selger;Høy;Lav;Totalt omsatt (NOK);Totalt antall aksjer omsatt;Antall off. handler;Antall handler totalt;VWAP
30.10.2020;121,25;121,20;121,25;121,40;119,20;401 472 156;3 325 105;8 147;8 159;120,7399
29.10.2020;122,50;122,45;122,50;122,90;116,30;525 468 891;4 368 462;9 443;9 450;120,2913
28.10.2020;120,70;120,70;120,75;122,80;120,40;492 867 738;4 061 779;10 740;10 740;121,3428
27.10.2020;124,05;124,00;124,05;126,55;123,80;340 913 607;2 731 924;5 983;5 984;124,789
26.10.2020;126,40;126,40;126,70;129,50;126,40;378 749 015;2 972 962;5 901;5 901;127,3979
23.10.2020;131,65;131,65;131,70;133,00;131,20;250 542 084;1 897 866;3 787;3 793;131,9966
22.10.2020;129,50;129,50;129,55;130,85;129,15;331 713 530;2 556 612;4 889;4 901;129,7467
21.10.2020;131,60;131,55;131,60;133,10;130,05;336 191 205;2 559 215;3 973;3 978;131,3749
20.10.2020;132,10;132,10;132,15;134,10;132,10;207 421 174;1 564 067;3 291;3 293;132,6164
19.10.2020;133,55;133,50;133,55;134,50;132,35;189 417 178;1 418 670;2 969;2 970;133,5175
16.10.2020;133,85;133,85;133,95;134,90;133,15;301 304 734;2 248 800;5 131;5 133;133,9847
15.10.2020;132,20;132,15;132,20;133,70;131,10;319 853 824;2 419 077;5 529;5 529;132,2214
14.10.2020;134,30;134,25;134,30;134,45;132,80;256 014 704;1 913 990;4 405;4 405;133,7597
13.10.2020;134,65;134,65;134,70;135,85;134,15;200 511 405;1 486 879;3 790;3 790;134,8539
12.10.2020;133,85;133,85;133,90;136,55;133,50;251 732 195;1 872 035;3 792;3 793;134,4696
09.10.2020;135,85;135,80;135,85;137,75;134,80;315 453 922;2 314 516;5 251;5 254;136,2938
08.10.2020;134,55;134,50;134,55;134,90;132,75;293 744 259;2 195 257;4 858;4 859;133,8379
07.10.2020;133,50;133,50;133,60;135,85;132,35;373 275 506;2 782 442;6 298;6 316;134,0752
06.10.2020;134,25;134,25;134,30;135,50;133,05;340 160 725;2 534 569;5 351;5 353;134,3167
05.10.2020;132,30;132,30;132,35;133,35;130,80;309 406 211;2 340 853;5 150;5 163;132,1801
02.10.2020;129,25;129,10;129,25;129,50;127,10;384 199 188;2 989 185;5 029;5 038;128,6219
01.10.2020;129,50;129,50;129,55;132,50;129,25;376 367 824;2 880 574;5 912;5 912;130,6572
30.09.2020;132,80;132,80;132,90;133,60;131,00;589 380 502;4 446 581;7 741;7 741;132,5469
29.09.2020;134,45;134,40;134,45;138,35;134,00;542 719 502;4 004 014;9 534;9 535;135,5466
28.09.2020;138,45;138,45;138,50;139,95;138,15;238 272 608;1 717 861;3 399;3 401;138,7028
25.09.2020;138,55;138,35;138,55;140,00;137,75;348 408 025;2 512 327;4 818;4 819;138,692
24.09.2020;138,10;138,10;138,30;139,30;137,00;504 649 353;3 652 030;7 483;7 483;138,1832
23.09.2020;140,50;140,50;140,55;141,85;140,10;386 852 709;2 743 920;7 600;7 609;140,9849
22.09.2020;141,85;141,85;142,15;143,45;139,30;321 156 363;2 269 321;4 882;4 884;141,5232
21.09.2020;139,75;139,75;139,80;143,40;139,75;333 343 850;2 366 530;5 595;5 606;140,83
18.09.2020;144,45;144,20;144,45;144,75;142,80;719 837 929;4 989 302;6 121;6 121;144,2763
17.09.2020;144,75;144,75;144,80;144,80;142,05;352 076 116;2 443 903;5 758;5 768;144,0626
16.09.2020;143,35;143,35;143,40;144,50;142,15;313 697 534;2 187 960;4 473;4 473;143,3744
15.09.2020;142,80;142,75;142,80;143,15;139,80;422 627 188;2 972 929;5 786;5 787;142,1586
14.09.2020;139,50;139,45;139,50;142,70;139,25;238 560 890;1 702 899;3 962;3 963;140,0912
11.09.2020;141,40;141,40;141,45;141,50;139,65;432 280 707;3 071 334;6 795;6 804;140,7489
10.09.2020;141,10;141,05;141,10;142,70;139,20;558 035 065;3 954 851;9 015;9 020;141,1016
09.09.2020;140,50;140,45;140,50;140,80;135,55;716 578 230;5 130 137;9 800;9 836;139,6608
08.09.2020;134,85;134,80;134,85;139,95;134,40;377 212 858;2 764 714;6 609;6 642;136,435
07.09.2020;139,55;139,55;139,60;139,75;137,75;210 922 758;1 519 422;3 770;3 770;138,8178
04.09.2020;138,75;138,70;139,00;140,85;136,60;318 070 589;2 284 285;5 189;5 212;139,236
03.09.2020;139,15;139,10;139,15;140,55;137,65;472 054 706;3 401 410;8 226;8 231;138,7823
02.09.2020;140,45;140,40;140,45;142,55;139,95;365 968 983;2 597 910;5 982;5 982;140,8705
01.09.2020;141,15;141,10;141,15;142,55;140,10;346 739 281;2 453 988;6 418;6 421;141,2946
31.08.2020;141,60;141,55;141,60;144,90;141,20;488 001 790;3 425 029;6 293;6 294;142,4812
28.08.2020;142,75;142,70;142,75;144,05;142,25;274 937 192;1 922 979;4 622;4 622;142,9746
27.08.2020;143,90;143,90;143,95;145,75;142,55;374 062 292;2 594 576;6 203;6 212;144,1682
26.08.2020;144,90;144,90;144,95;145,55;144,05;269 306 204;1 858 798;4 109;4 113;144,8822
25.08.2020;146,55;146,55;146,60;150,10;146,55;409 832 295;2 776 395;6 112;6 118;147,6084
24.08.2020;147,95;147,90;147,95;147,95;143,50;320 256 836;2 187 051;5 144;5 174;146,5006
21.08.2020;142,55;142,50;142,55;143,55;141,40;267 349 559;1 878 254;4 851;5 052;142,3419
20.08.2020;142,70;142,70;142,80;144,05;141,80;305 362 459;2 137 659;4 245;4 260;142,8595
19.08.2020;143,10;143,10;143,15;143,75;142,50;205 004 984;1 432 755;3 169;3 170;143,0841
18.08.2020;143,95;143,85;143,95;145,60;143,30;296 903 517;2 057 825;5 275;5 277;144,2898
17.08.2020;145,40;145,35;145,40;147,10;144,75;241 324 065;1 656 289;3 549;3 550;145,6915
14.08.2020;145,70;145,65;145,70;148,50;144,10;604 657 759;4 149 962;8 123;8 131;145,7024
13.08.2020;150,10;149,95;150,10;151,00;149,05;442 032 973;2 944 612;8 531;8 579;150,1146
12.08.2020;150,30;150,10;150,30;150,40;147,40;379 772 888;2 537 736;6 282;6 282;149,6503
11.08.2020;148,55;148,40;148,55;150,35;146,50;583 023 219;3 916 935;8 200;8 238;148,8316
10.08.2020;145,40;145,40;145,50;146,10;144,00;290 386 971;2 000 395;4 824;4 824;145,1648
07.08.2020;143,40;143,40;143,45;143,85;141,70;380 105 223;2 655 146;5 613;5 615;143,158
06.08.2020;143,50;143,35;143,50;143,80;141,45;372 679 282;2 605 343;5 339;5 358;143,0438
05.08.2020;143,60;143,60;143,70;144,40;139,60;499 404 870;3 497 730;6 867;6 872;142,7489
04.08.2020;138,65;138,60;138,65;138,65;136,65;500 869 602;3 628 573;7 253;7 257;138,0365
03.08.2020;135,80;135,75;135,80;136,50;134,20;315 022 617;2 323 025;5 425;5 426;135,6087
31.07.2020;134,30;134,25;134,30;136,95;134,30;555 863 902;4 114 433;6 536;6 541;135,1012
30.07.2020;134,50;134,45;134,50;138,75;134,35;444 136 718;3 258 976;7 038;7 083;136,2113
29.07.2020;138,90;138,55;138,90;139,05;136,80;533 906 592;3 867 221;7 665;7 665;138,0595
28.07.2020;138,55;138,55;138,85;140,90;138,30;353 856 629;2 546 964;4 934;4 953;138,9266
27.07.2020;141,00;140,95;141,05;144,70;140,95;445 796 905;3 128 509;8 189;8 267;142,483
24.07.2020;144,50;144,50;144,65;145,85;138,25;787 358 763;5 521 622;14 245;14 307;142,5923
23.07.2020;138,15;138,00;138,15;139,35;137,65;372 007 879;2 688 544;5 059;5 063;138,3673
22.07.2020;137,50;137,45;137,75;141,65;137,50;475 634 920;3 424 664;7 312;7 314;138,7867
21.07.2020;140,95;140,95;141,00;141,50;139,00;589 044 543;4 196 009;10 341;10 341;140,3821
20.07.2020;139,95;139,90;139,95;140,75;138,60;358 552 080;2 562 900;6 278;6 287;139,9079
17.07.2020;141,15;141,15;141,20;141,75;140,90;326 004 001;2 307 574;5 309;5 310;141,2767
16.07.2020;141,10;141,10;141,15;141,90;140,45;437 100 364;3 096 644;7 332;7 333;141,153
15.07.2020;141,20;141,15;141,20;142,00;140,65;632 542 009;4 479 952;9 045;9 046;141,1939
14.07.2020;140,85;140,85;140,90;140,95;138,40;386 256 528;2 755 049;6 433;6 523;140,2006
13.07.2020;138,85;138,60;138,85;141,00;138,00;300 694 209;2 163 001;4 291;4 315;139,0232
10.07.2020;137,95;137,90;137,95;139,10;135,00;315 041 668;2 300 374;5 401;5 402;136,9527
09.07.2020;137,70;137,70;137,75;140,85;137,65;322 896 636;2 327 618;5 508;5 511;138,7239
08.07.2020;139,40;139,35;139,40;139,45;136,65;428 970 026;3 095 367;5 042;5 048;138,5837
07.07.2020;138,80;138,75;138,80;138,80;136,60;357 137 601;2 589 999;6 270;6 271;137,891
06.07.2020;139,05;139,05;139,10;140,65;138,85;349 204 309;2 502 291;5 149;5 159;139,5533
03.07.2020;137,50;137,45;137,50;140,50;137,35;324 324 959;2 347 711;4 712;4 743;138,0973
02.07.2020;139,95;139,90;139,95;140,80;136,30;426 715 853;3 074 247;6 963;6 969;138,8027
01.07.2020;137,55;137,55;137,80;139,80;135,80;501 633 093;3 642 939;7 478;7 478;137,7001
30.06.2020;136,60;136,60;136,75;139,05;136,15;460 362 913;3 354 374;5 935;5 955;137,2333
29.06.2020;139,95;139,95;140,00;140,25;137,55;371 008 329;2 663 791;6 248;6 259;139,2704
26.06.2020;139,15;139,10;139,15;142,35;139,15;368 893 879;2 631 157;5 323;5 332;140,1988
25.06.2020;141,20;141,20;141,25;141,20;135,40;586 496 382;4 219 544;8 459;8 464;138,9925
24.06.2020;140,05;140,05;140,15;142,80;140,05;388 854 691;2 762 411;5 411;5 413;140,7661
23.06.2020;142,45;142,40;142,45;144,15;140,80;418 686 003;2 936 451;4 551;4 554;142,5886
22.06.2020;140,90;140,90;140,95;141,45;139,30;430 311 854;3 059 425;6 339;6 341;140,5685
19.06.2020;141,65;141,30;141,65;143,60;140,50;1 124 616 883;7 929 514;11 808;11 809;141,8265
18.06.2020;140,00;139,95;140,00;143,00;139,55;669 498 650;4 748 762;9 740;9 742;140,9909
17.06.2020;143,25;143,20;143,40;146,60;142,65;565 972 169;3 925 045;9 847;9 856;144,1942
16.06.2020;147,20;147,20;147,25;147,50;143,40;682 659 306;4 684 352;10 619;10 622;145,7324
15.06.2020;141,65;141,55;141,70;141,95;136,00;559 782 351;3 983 665;9 417;9 417;140,5194
12.06.2020;144,05;144,00;144,05;145,65;140,00;508 965 233;3 544 821;10 098;10 107;143,5799
11.06.2020;143,50;143,45;143,50;146,50;142,40;616 478 302;4 274 040;10 350;10 352;144,2378
10.06.2020;149,20;149,10;149,20;152,65;149,00;747 124 795;4 977 046;11 219;11 230;150,1136
09.06.2020;150,65;150,65;150,75;157,35;150,50;861 152 639;5 656 153;14 646;14 650;152,2453
08.06.2020;156,30;156,20;156,30;159,35;155,45;863 562 589;5 496 220;11 880;11 880;157,1194
05.06.2020;153,20;153,20;153,30;154,20;148,70;918 589 364;6 044 498;14 650;14 706;151,9708
04.06.2020;146,90;146,85;146,90;149,25;145,90;638 949 411;4 350 510;7 853;7 865;146,9069
03.06.2020;149,30;149,30;149,35;151,60;146,50;926 474 246;6 216 442;10 606;10 627;149,0183
02.06.2020;145,15;145,15;145,25;145,65;143,10;750 838 831;5 189 353;10 352;10 394;144,6917
29.05.2020;141,15;141,15;141,50;146,65;140,45;1 248 567 513;8 785 715;11 648;11 709;141,9514
28.05.2020;147,90;147,90;147,95;151,20;147,90;813 084 420;5 472 081;9 977;10 018;148,61
27.05.2020;150,80;150,75;150,80;151,80;147,85;751 084 735;5 005 697;10 547;10 554;150,0636
26.05.2020;149,00;149,00;149,10;150,65;148,20;702 819 142;4 711 559;10 162;10 165;149,0924
25.05.2020;149,80;149,70;149,80;150,00;146,95;511 662 417;3 445 551;6 507;6 510;148,5024
22.05.2020;146,05;146,00;146,05;146,95;142,65;809 924 675;5 579 056;12 536;12 536;145,1724
20.05.2020;150,30;150,20;150,35;150,30;144,85;708 842 781;4 774 526;10 190;10 192;148,5062
19.05.2020;146,50;146,40;146,50;147,30;143,60;1 016 584 879;6 981 274;15 343;15 357;145,6526
18.05.2020;144,65;144,50;144,65;144,80;141,05;723 529 176;5 050 774;10 277;10 291;143,1629
15.05.2020;139,20;139,15;139,20;139,95;135,35;953 183 140;6 920 557;17 512;17 528;137,7412
14.05.2020;135,50;135,50;135,80;138,45;134,55;701 472 426;5 153 862;13 635;13 638;136,1492
13.05.2020;139,00;138,95;139,00;142,35;138,30;841 756 410;6 019 950;15 709;15 709;139,8278
12.05.2020;142,50;141,70;142,50;143,30;139,45;703 871 092;4 963 655;10 856;10 857;141,805
11.05.2020;141,25;140,70;141,25;142,60;139,25;592 394 948;4 211 047;10 155;10 162;140,6867
08.05.2020;140,75;140,50;140,75;140,75;137,70;529 555 384;3 798 971;7 321;7 323;139,3949
07.05.2020;138,55;138,40;138,55;139,95;132,55;656 077 098;4 750 673;10 325;10 334;138,1012
06.05.2020;133,70;133,65;133,80;139,70;133,60;841 699 626;6 184 491;15 191;15 207;136,0994
05.05.2020;140,65;140,65;140,70;142,50;136,55;785 723 432;5 628 899;12 858;12 859;139,5875
04.05.2020;133,70;133,70;134,00;136,45;132,90;1 004 859 355;7 464 125;16 682;16 687;134,6248
30.04.2020;143,45;143,35;143,45;144,00;139,05;1 201 192 537;8 447 517;18 859;18 884;142,2007
29.04.2020;141,35;141,30;141,35;141,35;135,60;873 476 419;6 264 306;13 000;13 023;139,4346
28.04.2020;135,20;135,20;135,25;137,00;132,15;863 257 014;6 402 749;16 372;16 383;134,8313
27.04.2020;134,00;133,90;134,00;135,85;132,30;638 288 439;4 751 630;11 863;11 890;134,2795
24.04.2020;133,00;133,00;133,10;135,50;130,75;680 510 481;5 110 567;11 239;11 239;133,1575
23.04.2020;134,90;134,80;134,90;135,40;129,70;951 131 684;7 157 388;17 262;17 301;132,8954
22.04.2020;133,15;133,05;133,15;134,55;123,30;890 102 556;6 818 512;14 586;14 641;130,5646
21.04.2020;128,70;128,70;128,75;128,70;125,60;870 597 554;6 849 159;15 282;15 336;127,1584
20.04.2020;130,55;130,50;130,55;132,75;127,55;651 948 800;5 004 744;13 164;13 169;130,222
17.04.2020;129,55;129,40;129,55;130,15;125,00;950 151 214;7 444 633;15 567;15 670;127,6065
16.04.2020;124,35;124,35;124,50;129,50;124,00;978 082 041;7 769 117;16 325;16 361;125,9292
15.04.2020;129,25;129,25;129,30;131,80;127,70;1 024 574 159;7 921 169;17 944;17 950;129,3459
14.04.2020;134,65;134,65;134,70;136,95;132,00;780 761 546;5 834 844;14 264;14 278;133,8204
08.04.2020;135,80;134,10;135,80;135,80;133,00;366 083 282;2 722 425;5 933;5 934;134,4696
07.04.2020;136,20;136,10;136,30;140,45;135,65;841 577 791;6 126 986;13 391;13 392;137,3559
06.04.2020;136,20;136,15;136,20;137,50;131,15;1 054 405 496;7 794 534;20 444;20 446;135,275
03.04.2020;136,10;136,10;136,15;141,70;135,50;1 663 595 863;12 012 976;29 545;29 616;138,4856
02.04.2020;139,25;139,20;139,30;143,85;135,75;2 305 743 472;16 419 580;40 359;40 454;140,4204
01.04.2020;135,10;135,05;135,10;135,10;123,70;1 433 498 085;10 940 595;22 830;22 916;131,0173
31.03.2020;131,15;131,00;131,15;132,50;123,50;1 858 514 199;14 373 123;29 409;29 496;129,3054
30.03.2020;120,25;120,05;120,25;120,25;109,10;1 096 162 864;9 417 268;22 338;22 361;116,357
27.03.2020;115,55;115,55;115,75;122,25;114,65;899 238 938;7 623 280;17 969;17 970;117,9172
26.03.2020;123,65;123,50;123,65;123,65;117,70;1 003 405 036;8 298 101;19 093;19 169;120,9257
25.03.2020;124,30;124,10;124,30;124,35;116,00;1 350 865 375;11 237 528;24 416;24 469;120,2068
24.03.2020;114,55;114,50;114,55;114,55;109,25;1 020 539 668;9 060 258;19 072;19 082;112,635
23.03.2020;104,25;104,25;104,60;112,65;104,25;1 192 057 448;10 976 625;20 856;20 912;106,6608
20.03.2020;111,75;111,75;111,80;118,10;108,55;1 300 810 688;11 485 745;25 207;25 230;113,2564
19.03.2020;108,20;108,00;108,20;108,20;102,20;1 128 597 178;10 661 965;19 703;19 710;105,8538
18.03.2020;101,70;101,50;101,70;103,20;100,10;976 121 478;9 611 415;22 208;22 293;101,5591
17.03.2020;106,70;106,60;106,75;107,70;98,74;1 323 951 954;12 301 698;24 834;24 854;103,5758
16.03.2020;102,15;102,15;102,25;102,15;95,20;1 439 866 972;14 587 201;35 517;35 522;98,7069
13.03.2020;103,45;103,40;103,45;110,25;99,56;1 510 571 818;14 448 269;34 895;34 931;104,5558
12.03.2020;99,34;99,30;99,34;105,00;98,16;1 082 149 223;10 699 196;26 303;26 331;101,1247
11.03.2020;108,50;108,45;108,55;114,50;106,85;1 176 900 917;10 746 237;21 763;21 784;109,601
10.03.2020;110,65;110,55;110,65;120,35;110,00;1 723 634 334;15 022 491;33 583;33 617;114,7813
09.03.2020;113,10;113,05;113,20;118,00;108,00;1 891 865 541;16 549 520;33 504;33 557;114,3113
06.03.2020;137,45;137,45;137,55;142,80;137,25;1 013 418 052;7 272 334;16 843;16 924;139,349
05.03.2020;145,25;145,20;145,25;148,95;144,20;651 854 084;4 483 698;9 174;9 199;145,445
04.03.2020;147,45;147,45;147,55;149,45;145,55;1 186 454 843;8 039 417;11 238;11 244;147,655
03.03.2020;148,35;148,30;148,35;150,85;147,10;780 035 692;5 240 117;11 761;11 792;148,8604
02.03.2020;144,55;144,50;144,55;149,70;142,75;1 061 045 996;7 279 469;16 793;16 838;145,7578
28.02.2020;141,25;141,15;141,25;143,40;139,15;1 308 983 770;9 268 823;18 267;18 290;141,2269
27.02.2020;143,55;143,50;143,55;148,80;142,05;849 418 331;5 863 895;13 081;13 084;144,8526
26.02.2020;151,35;151,35;151,40;152,05;148,05;1 001 378 688;6 669 430;14 861;14 912;150,1434
25.02.2020;150,85;150,85;151,10;153,40;150,45;897 241 874;5 910 447;13 043;13 055;151,805
24.02.2020;150,20;150,20;150,30;155,45;149,75;889 155 155;5 881 906;13 953;13 966;151,1509
