TEL;Siste;Kjøper;Selger;Høy;Lav;Totalt omsatt (NOK);Totalt antall aksjer omsatt;Antall off. handler;Antall handler totalt;VWAP
06.11.20;151,05;151,05;151,60;152,35;151,00;214 480 823;1 417 379;2 780;2 781;151,3225
05.11.20;152,40;152,40;152,50;152,80;149,90;319 081 514;2 095 426;2 699;2 710;152,2757
04.11.20;151,25;151,20;151,25;151,25;147,80;227 278 749;1 510 199;2 664;2 678;150,5006
03.11.20;149,30;148,80;149,30;150,20;147,35;273 038 069;1 834 383;4 065;4 099;148,882
02.11.20;149,20;148,95;149,20;149,20;147,00;195 036 419;1 312 173;2 497;2 501;148,6438
30.10.20;147,20;147,00;147,20;148,35;145,90;212 996 966;1 447 871;2 489;2 494;147,1108
29.10.20;148,10;148,10;148,15;149,50;146,75;219 353 128;1 481 442;3 578;3 581;148,0675
28.10.20;146,90;146,85;146,90;152,90;146,90;265 697 357;1 788 206;3 846;3 849;148,5828
27.10.20;151,55;151,55;151,60;153,50;149,35;254 357 785;1 675 471;4 164;4 166;151,812
26.10.20;150,50;150,45;150,50;153,75;150,50;227 082 765;1 502 407;2 836;2 837;151,1555
23.10.20;153,70;153,50;153,70;153,95;152,40;195 798 334;1 275 630;2 437;2 441;153,4942
22.10.20;152,40;152,40;152,45;153,65;149,70;247 821 082;1 629 031;3 414;3 419;152,1241
21.10.20;151,60;151,55;151,70;155,50;151,10;310 628 560;2 038 512;4 783;4 790;152,3834
20.10.20;149,70;149,70;149,75;151,85;149,50;254 455 645;1 695 278;3 933;3 934;150,0708
19.10.20;151,15;151,15;151,50;153,05;150,65;163 399 631;1 079 625;2 406;2 408;151,3487
16.10.20;151,75;151,70;151,80;155,30;150,45;242 440 879;1 596 783;3 870;3 879;151,8247
15.10.20;152,75;152,75;152,80;154,00;152,40;184 607 763;1 208 125;3 098;3 098;152,8052
14.10.20;153,95;153,90;154,00;155,00;153,60;165 309 596;1 072 676;2 140;2 140;154,1095
13.10.20;153,95;153,90;153,95;155,10;150,85;195 297 521;1 269 086;2 799;2 801;153,8843
12.10.20;150,65;150,65;150,70;153,10;150,60;292 628 916;1 937 376;3 921;3 921;151,0439
09.10.20;152,10;152,05;152,35;154,70;152,10;216 179 339;1 417 104;2 639;2 649;152,5493
08.10.20;154,50;154,50;154,55;154,95;153,15;200 147 967;1 296 799;2 718;2 718;154,34
07.10.20;157,05;157,05;157,10;161,45;157,05;344 904 546;2 185 723;4 456;4 457;157,7932
06.10.20;161,40;161,15;161,40;161,45;159,60;243 296 563;1 509 922;2 924;2 926;161,1356
05.10.20;159,55;159,50;159,55;159,95;157,55;241 598 902;1 515 447;2 985;2 986;159,43
02.10.20;157,30;157,30;157,35;157,80;154,60;259 930 628;1 654 494;2 957;2 967;157,0997
01.10.20;155,75;155,65;155,75;156,90;155,45;268 721 129;1 723 889;3 772;3 781;155,8765
30.09.20;156,45;156,15;156,45;156,45;153,10;334 426 729;2 147 213;3 930;3 932;155,763
29.09.20;154,00;153,95;154,00;154,05;150,80;335 372 863;2 184 610;3 277;3 282;153,5529
28.09.20;150,60;150,45;150,60;150,60;148,50;213 382 677;1 422 028;2 070;2 071;150,1878
