NHY;Siste;Kjøper;Selger;Høy;Lav;Totalt omsatt (NOK);Totalt antall aksjer omsatt;Antall off. handler;Antall handler totalt;VWAP
06.11.20;29,39;;;;;;;;;
05.11.20;28,73;28,73;28,75;28,80;28,04;142 847 353;4 997 641;2 788;2 788;28,583
04.11.20;28,36;28,25;28,36;28,40;27,71;157 559 407;5 598 729;3 807;3 809;28,1463
03.11.20;28,49;28,45;28,49;28,55;27,72;204 391 160;7 208 598;4 709;4 712;28,3562
02.11.20;27,56;27,55;27,56;27,58;26,52;138 799 131;5 072 205;3 251;3 255;27,3652
30.10.20;26,73;26,72;26,73;27,13;26,56;154 389 165;5 765 801;2 802;2 805;26,7764
29.10.20;27,00;26,99;27,00;27,16;26,60;160 323 907;5 948 688;3 713;3 714;26,9511
28.10.20;26,76;26,76;26,77;27,36;26,76;249 443 244;9 255 100;5 581;5 581;26,952
27.10.20;27,32;27,32;27,33;27,86;27,16;177 390 290;6 475 877;3 198;3 199;27,3925
26.10.20;27,85;27,84;27,86;28,48;27,77;187 797 719;6 691 950;4 191;4 191;28,0632
23.10.20;28,00;27,99;28,00;28,14;27,05;458 808 310;16 472 161;8 918;8 918;27,8536
22.10.20;26,27;26,27;26,28;26,68;25,87;137 354 476;5 211 348;3 247;3 247;26,3568
21.10.20;26,22;26,22;26,23;26,36;25,73;140 316 116;5 372 433;2 832;2 832;26,1178
20.10.20;26,10;26,09;26,10;26,28;26,05;134 156 662;5 133 700;2 820;2 820;26,1325
19.10.20;26,20;26,16;26,20;26,63;25,88;174 469 742;6 671 860;3 548;3 548;26,1501
16.10.20;26,47;26,47;26,50;26,64;26,16;235 259 571;8 889 670;5 402;5 402;26,4644
15.10.20;25,91;25,91;25,92;26,40;25,88;155 789 117;5 997 330;3 229;3 230;25,9753
14.10.20;26,20;26,20;26,22;26,56;26,20;186 228 474;7 075 402;3 628;3 628;26,3206
13.10.20;26,42;26,42;26,44;26,79;26,31;289 927 977;10 943 654;7 119;7 119;26,4928
12.10.20;26,00;25,97;26,00;26,54;25,93;140 676 589;5 381 833;3 356;3 356;26,1392
09.10.20;26,00;26,00;26,01;26,30;25,95;140 216 926;5 382 322;3 077;3 079;26,0512
08.10.20;26,23;26,22;26,23;26,37;25,95;127 128 920;4 858 792;2 901;2 901;26,1647
07.10.20;26,13;26,13;26,14;26,35;25,88;143 599 116;5 497 442;3 576;3 577;26,1211
06.10.20;26,06;26,06;26,07;26,33;25,92;107 135 160;4 110 120;2 419;2 419;26,0662
05.10.20;26,06;26,04;26,06;26,06;25,10;131 889 536;5 109 122;2 977;2 980;25,8182
02.10.20;25,32;25,32;25,33;25,48;24,85;125 377 929;4 965 512;3 289;3 289;25,2497
01.10.20;25,50;25,48;25,50;25,92;25,44;99 188 813;3 870 014;2 472;2 489;25,6295
30.09.20;25,74;25,74;25,80;25,82;25,47;87 111 473;3 391 358;2 221;2 222;25,6864
29.09.20;25,79;25,76;25,79;25,99;25,60;95 848 928;3 719 393;2 144;2 145;25,7708
28.09.20;25,87;25,82;25,87;25,87;25,52;111 411 164;4 319 274;2 127;2 127;25,794
25.09.20;25,25;25,25;25,26;25,57;25,15;109 923 598;4 343 826;2 841;2 841;25,3057
24.09.20;25,49;25,48;25,50;25,91;25,05;107 315 062;4 206 910;2 957;2 957;25,5092
23.09.20;25,63;25,62;25,63;26,20;25,63;96 008 424;3 722 393;2 346;2 350;25,7908
22.09.20;25,83;25,83;25,84;26,42;25,83;142 026 566;5 468 675;2 588;2 590;25,9748
